CITY_NAME:lat=LATITUDE,lon=LONGITUDE
Murmansk:lat=68.96354675,lon=33.0860405
Arkhangelsk:lat=64.52066803,lon=40.64616013
Saint Petersburg:lat=59.95188904,lon=30.45332718
Magadan:lat=59.57099915,lon=150.780014
Perm':lat=58.00023651,lon=56.23246384
Yekaterinburg:lat=56.84654236,lon=60.61013031
Nizhniy Novgorod:lat=56.28967667,lon=43.94067001
Glasgow:lat=55.86280823,lon=-4.269947529
Kazan':lat=55.73300552,lon=49.14546585
Chelyabinsk:lat=55.14500046,lon=61.39261246
Omsk:lat=55.0633049,lon=73.25028992
Novosibirsk:lat=55.03210068,lon=82.94284821
Ufa:lat=54.82173538,lon=56.09612656
Vilnius:lat=54.68856812,lon=25.27596664
Belfast:lat=54.58692551,lon=-5.909660339
Gdansk:lat=54.36620331,lon=18.62494278
Minsk:lat=53.89993668,lon=27.57556725
Leeds:lat=53.80871201,lon=-1.49752748
Hamburg:lat=53.57112122,lon=10.02760601
Manchester:lat=53.47966385,lon=-2.261778593
Sheffield:lat=53.37404251,lon=-1.462989211
Dublin:lat=53.34156036,lon=-6.25734663
Samara:lat=53.13859558,lon=50.09617996
Bremen:lat=53.08010483,lon=8.857625961
Berlin:lat=52.5162735,lon=13.32757282
Birmingham:lat=52.49275208,lon=-1.863347769
Amsterdam:lat=52.37304306,lon=4.894833088
Irkutsk:lat=52.3174324,lon=104.2478333
Warsaw:lat=52.24494553,lon=21.01187897
Rotterdam:lat=51.92559433,lon=4.485152245
Lodz:lat=51.77790833,lon=19.47644043
Dortmund:lat=51.51381302,lon=7.466418266
Duisburg:lat=51.48933792,lon=6.775304317
London:lat=51.48791122,lon=-0.177998126
Essen:lat=51.35404205,lon=7.122435093
Leipzig:lat=51.3493309,lon=12.39807415
Antwerpen:lat=51.20734787,lon=4.426054478
Wroclaw:lat=51.12181854,lon=17.0381279
Gent:lat=51.04755402,lon=3.73629117
Dresden:lat=51.045681,lon=13.70535755
Calgary:lat=51.02999878,lon=-114.0500031
Koln:lat=50.94234467,lon=6.934871674
Bruxelles:lat=50.83704758,lon=4.367612362
Bonn:lat=50.73455811,lon=7.099818707
Lille:lat=50.63208389,lon=3.062901258
Liege:lat=50.62252808,lon=5.569435596
Kiev:lat=50.44815826,lon=30.50211143
Frankfurt am Main:lat=50.12999725,lon=8.668167114
Praha:lat=50.105896,lon=14.45652008
Krakow:lat=50.0622406,lon=19.94505692
Winnipeg:lat=49.92116928,lon=-97.12444305
Karaganda:lat=49.87920761,lon=73.20263672
Lvov:lat=49.83731079,lon=24.0345211
Brno:lat=49.20298004,lon=16.61624527
Paris:lat=48.88155365,lon=2.432832718
Volgograd:lat=48.71024704,lon=44.48363113
Strasbourg:lat=48.58343506,lon=7.767994404
Linz:lat=48.29759598,lon=14.29390144
Vienna:lat=48.20211792,lon=16.32098579
Munchen:lat=48.14097595,lon=11.54295349
Donets'k:lat=48.04014587,lon=37.73705292
Ulaanbaatar:lat=47.9285965,lon=106.9123535
Budapest:lat=47.51462555,lon=19.09424973
Qiqihar:lat=47.34400558,lon=123.9649658
Innsbruck:lat=47.26546097,lon=11.34998226
Rostov-na-Donu:lat=47.23209763,lon=39.68803787
Nantes:lat=47.21943283,lon=-1.561561227
Graz:lat=47.06492233,lon=15.43110085
Bern:lat=46.94820786,lon=7.445736408
Quebec:lat=46.80207443,lon=-71.24493408
Odessa:lat=46.57220078,lon=30.68393707
Harbin:lat=45.75521851,lon=126.6226349
Lyon:lat=45.74708176,lon=4.855400562
Montreal:lat=45.54101563,lon=-73.65353394
Milano:lat=45.47338104,lon=9.19046402
Venezia:lat=45.42477417,lon=12.37071991
